dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
broadleaf,junit,0.2,5432.0,87.0,3478.0,3478.0,84.0,3145.0,0.0,0.383,0.483,0.609,0.747,0.908,0.943,0.966,0.966,0.966,0.966,0.966,10434.0,10568.759,13365.0,0.82,0.138,0.966,0.117,0.001,0.118,0.9655172413793104,0.6402798232695139,6,1000.0
broadleaf,junit,0.3,5432.0,87.0,2566.0,2566.0,74.0,2239.0,0.0,0.0,0.46,0.575,0.782,0.839,0.839,0.839,0.839,0.839,0.839,0.839,7698.0,8554.506,13428.601,0.748,0.15,0.851,0.064,0.022,0.086,0.8505747126436781,0.4723858615611193,6,1000.0
broadleaf,junit,0.4,5432.0,87.0,4251.0,4251.0,87.0,3104.0,0.429,0.414,0.517,0.609,0.793,0.92,0.931,1.0,1.0,1.0,1.0,1.0,12753.0,12753.0,12753.0,0.839,0.144,1.0,0.175,0.0,0.175,1.0,0.7825846833578792,6,1000.0
broadleaf,junit,0.5,5432.0,87.0,1105.0,1105.0,48.0,844.0,0.0,0.0,0.494,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,3315.0,7194.379,11969.0,0.528,0.092,0.552,0.012,0.201,0.213,0.5517241379310345,0.2034241531664212,6,1000.0
broadleaf,junit,1.0,5432.0,87.0,1232.0,1232.0,54.0,898.0,0.0,0.0,0.54,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,3696.0,6882.207,12096.0,0.593,0.135,0.621,0.015,0.144,0.159,0.6206896551724138,0.2268041237113402,6,1000.0
broadleaf,mct,0.1,6091.0,23.0,6091.0,6091.0,23.0,5412.0,0.111,0.062,0.348,0.478,0.522,0.652,0.696,0.739,0.739,0.913,1.0,1.0,18273.0,18273.0,18273.0,0.65,0.008,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
broadleaf,mct,0.2,6091.0,23.0,1105.0,1105.0,10.0,501.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8951.348,13284.565,0.421,0.013,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
broadleaf,mct,0.3,6091.0,23.0,2841.0,2841.0,15.0,1832.0,0.0,0.0,0.261,0.522,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,8523.0,10783.87,14972.219,0.574,0.026,0.652,0.144,0.121,0.265,0.6521739130434783,0.466425874240683,6,1000.0
broadleaf,mct,0.4,6091.0,23.0,2841.0,2841.0,15.0,1845.0,0.0,0.0,0.391,0.565,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,8523.0,10783.87,14972.219,0.592,0.021,0.652,0.144,0.121,0.265,0.6521739130434783,0.466425874240683,6,1000.0
broadleaf,mct,0.5,6091.0,23.0,3144.0,3144.0,15.0,1905.0,0.0,0.0,0.261,0.565,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,9432.0,11482.087,15279.953,0.576,0.015,0.652,0.176,0.121,0.297,0.6521739130434783,0.5161714004268593,6,1000.0
broadleaf,mct,1.0,6091.0,23.0,2316.0,2316.0,15.0,1527.0,0.0,0.0,0.391,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,6948.0,9574.087,14439.016,0.595,0.032,0.652,0.096,0.121,0.217,0.6521739130434783,0.3802331308487933,6,1000.0
ceylon,junit,0.1,5432.0,87.0,1696.0,1696.0,68.0,1182.0,0.0,0.0,0.448,0.724,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,5088.0,6719.816,12559.971,0.715,0.098,0.782,0.028,0.048,0.076,0.7816091954022989,0.3122238586156112,6,1000.0
ceylon,junit,0.2,5432.0,87.0,2089.0,2089.0,71.0,1697.0,0.0,0.0,0.437,0.506,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,6267.0,7496.609,12952.796,0.722,0.078,0.816,0.042,0.034,0.076,0.8160919540229885,0.38457290132547867,6,1000.0
